tag,content
1,מי שהשמיד או הסתיר מסמכים שיש להם ערך לענין חישוב השומה דינו – מאסר שנה או קנס כאמור בסעיף 61(א)(2) לחוק העונשין.
1,לאסור לצמצם או להסדיר את קנייתם ומכירתם של נשק־אש תחמושת או חמרי נפץ או את העיסוק בהם בדרך אחרת בשטח הנקוב בצו;
1,מי שמסר הצהרה ידיעה או הודעה ביודעין שאינה נכונה דינו – מאסר שנה או קנס של 3000 לירות.
1,מי שהפריע לאדם הפועל בשליחותו של המנהל לבצע את סמכויותיו או מנע זאת ממנו דינו – מאסר שנתיים או קנס של עשרת אלפים לירות.
1,כהן דת הבועל אישה או העושה מעשה סדום באדם שמלאו להם שמונה עשרה שנים במהלך התקופה שבה ניתן להם ייעוץ או הדרכה על ידו או סמוך לאחר מכן בהסכמה שהושגה תוך ניצול תלות נפשית ממשית בו שמקורה בייעוץ או בהדרכה שניתנו להם על ידו דינו – מאסר ארבע שנים.
1,כהן דת העושה באדם שמלאו לו שמונה עשרה שנים מעשה מגונה בנסיבות המפורטות בסעיף 347ב(ב) דינו – מאסר שלוש שנים.
1,לא יסחר אדם בערך טבע מוגן אלא על פי היתר כללי או מיוחד מאת המנהל ולא יחזיק אדם בערך טבע מוגן אלא על פי היתר כאמור או אם רכש את ערך הטבע מבעל היתר סחר באותו ערך טבע.
1,המפרסם קריאה לעשיית מעשה אלימות או דברי שבח אהדה או עידוד למעשה אלימות תמיכה בו או הזדהות עמו (בסעיף זה – פרסום מסית) ועל פי תוכנו של הפרסום המסית והנסיבות שבהן פורסם יש אפשרות ממשית שיביא לעשיית מעשה אלימות דינו – מאסר חמש שנים.
1,השתמש בכל מרמה ערמה או תחבולה או הרשה להשתמש בהן.
1,העושה מעשה מגונה באדם בלא הסכמתו אך שלא בנסיבות כאמור בסעיפים קטנים (א) (ב) או (ג1) דינו – מאסר שלוש שנים.
